Crop_ID,CropName,Default_Indemnity_Level
1,Rice,0.90000000000000002
2,Wheat,0.90000000000000002
3,Sugarcane,0.80000000000000004
4,Potato,0.80000000000000004
5,Cotton,0.80000000000000004
6,Apple,0.80000000000000004
7,Arhar,0.80000000000000004
8,Bajra,0.80000000000000004
9,Banana,0.80000000000000004
10,Barley,0.80000000000000004
11,Bengalgram,0.80000000000000004
12,Blackgram,0.80000000000000004
13,Brinjal,0.80000000000000004
14,Cashewnut,0.80000000000000004
15,Castor Oilseed,0.80000000000000004
16,Chillies,0.80000000000000004
17,Cholam,0.80000000000000004
18,Coriander,0.80000000000000004
19,Cowpea,0.80000000000000004
20,Cumbu,0.80000000000000004
21,Cumin,0.80000000000000004
22,Fenugreek (Methi),0.80000000000000004
23,Gingelly,0.80000000000000004
24,Ginger,0.80000000000000004
25,Gram,0.80000000000000004
26,Grapes,0.80000000000000004
27,Greengram,0.80000000000000004
28,Groundnut,0.80000000000000004
29,Guar,0.80000000000000004
30,Guava,0.80000000000000004
31,HorseGram,0.80000000000000004
32,Isabgol,0.80000000000000004
33,Jowar,0.80000000000000004
34,Jute,0.80000000000000004
35,Lentil,0.80000000000000004
36,Litchi,0.80000000000000004
37,Maize,0.80000000000000004
38,Mango,0.80000000000000004
39,Moong,0.80000000000000004
40,Moringa,0.80000000000000004
41,Moth,0.80000000000000004
42,Mustard,0.80000000000000004
43,Oilpalm,0.80000000000000004
44,Onion,0.80000000000000004
45,Orange,0.80000000000000004
46,Peas,0.80000000000000004
47,Pomegranate,0.80000000000000004
48,Pulses,0.80000000000000004
49,Ragi,0.80000000000000004
50,Sesame Seeds,0.80000000000000004
51,Sorghum/ Jowar,0.80000000000000004
52,Soyabean,0.80000000000000004
53,Sunflower,0.80000000000000004
54,Tapioca,0.80000000000000004
55,Taramira,0.80000000000000004
56,Tomato,0.80000000000000004
57,Turmeric,0.80000000000000004
58,Urad,0.80000000000000004
59,Arecanut,0.80000000000000004
60,Sesanum,0.80000000000000004
61,Peppers,0.80000000000000004
62,Cardamom,0.80000000000000004
63,Coconut,0.80000000000000004
64,Pineapple,0.80000000000000004
65,Bhindi,0.80000000000000004
66,Chick Peas,0.80000000000000004
67,Sweet Orange,0.80000000000000004
68,Rapeseed,0.80000000000000004
69,Horse Gram,0.80000000000000004
